Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S72945018,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2020-08-29,09:28 AM,eBird - Traveling Count,116,1,3.892,,2
S73854056,Canada Goose,Branta canadensis,324,8,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2020-09-20,07:30 AM,eBird - Traveling Count,240,1,9.656,,20
S75433382,Canada Goose,Branta canadensis,324,4,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2020-10-26,10:39 AM,eBird - Traveling Count,62,1,1.718,,2,,,East marsh trail
S101239238,Canada Goose,Branta canadensis,324,75,US-NY,Erie,L462930,Beaver Island SP,42.9643762,-78.9500361,2022-01-22,03:51 PM,eBird - Traveling Count,44,1,6.76,,2,,,"Giant rafts of mixed ducks in the river, including many huge flocks in the air moving back and forth up and down river"
S82901946,Canada Goose,Branta canadensis,324,200,US-NY,Erie,L13741365,Beaver Island SP--East River Marsh,42.9689404,-78.9438947,2021-03-06,04:59 PM,eBird - Traveling Count,31,1,1.506,,2
S83802658,Canada Goose,Branta canadensis,324,1,US-NY,Erie,L13741365,Beaver Island SP--East River Marsh,42.9689404,-78.9438947,2021-03-21,08:01 AM,eBird - Traveling Count,67,1,2.682,,2
S95683985,Canada Goose,Branta canadensis,324,6,US-NY,Erie,L13741365,Beaver Island SP--East River Marsh,42.9689404,-78.9438947,2021-10-06,02:25 PM,eBird - Traveling Count,63,1,3.248,,2
S69667667,Canada Goose,Branta canadensis,324,20,US-NY,Erie,L164983,Buckhorn Island SP,43.0606218,-78.9882132,2020-05-26,08:57 AM,eBird - Traveling Count,139,0,6.94,,3
S83376737,Canada Goose,Branta canadensis,324,12,US-NY,Erie,L164983,Buckhorn Island SP,43.0606218,-78.9882132,2021-03-14,08:20 AM,eBird - Traveling Count,71,1,3.249,,2
S86422102,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L164983,Buckhorn Island SP,43.0606218,-78.9882132,2021-04-26,09:55 AM,eBird - Traveling Count,92,1,5.075,,2
S78375727,Canada Goose,Branta canadensis,324,24,US-NY,Erie,L2480018,Buffalo Harbor State Park,42.8458185,-78.8622071,2020-12-31,03:09 PM,eBird - Casual Observation,,0,,,2
